Protein	Label	adj.pvalue	accession	interesting	Annotation	Species	BiologicalProcess	GOTerms
CHOYP_LOC100377195.2.2|m.61720	BareCI-BareFB	0.185238311	sp|P86786|GIGA3_CRAGI	x	Gigasin-3a (Fragment)	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	0	0
CHOYP_HYOU1.2.3|m.12568	EelgrassCI-EelgrassWB	0.199883868	sp|Q7ZUW2|HYOU1_DANRE	x	Hypoxia up-regulated protein 1	Danio rerio (Zebrafish) (Brachydanio rerio)	0	GO:0005524; GO:0005788
CHOYP_CAT.1.1|m.57038	EelgrassFB-EelgrassWB	0.305282695	sp|P00432|CATA_BOVIN	x	Catalase (EC 1.11.1.6)	Bos taurus (Bovine)	aerobic respiration [GO:0009060]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; osteoblast differentiation [GO:0001649]; oxidation-reduction process [GO:0055114]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; response to hydrogen peroxide [GO:0042542]; triglyceride metabolic process [GO:0006641]; UV protection [GO:0009650]	GO:0001649; GO:0004046; GO:0004096; GO:0005739; GO:0005777; GO:0005778; GO:0005925; GO:0006641; GO:0008203; GO:0009060; GO:0009650; GO:0014068; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0042542; GO:0042744; GO:0043066; GO:0046872; GO:0050661; GO:0051092; GO:0051289; GO:0051781; GO:0055114; GO:0070062
CHOYP_CATA.2.3|m.18454	BarePG-BareWB	0.347248083	sp|P04040|CATA_HUMAN	x	Catalase (EC 1.11.1.6)	Homo sapiens (Human)	aerobic respiration [GO:0009060]; aging [GO:0007568]; cellular response to growth factor stimulus [GO:0071363]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; osteoblast differentiation [GO:0001649]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; protein tetramerization [GO:0051262]; purine nucleotide catabolic process [GO:0006195]; response to activity [GO:0014823]; response to cadmium ion [GO:0046686]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]; response to hydrogen peroxide [GO:0042542]; response to hyperoxia [GO:0055093]; response to hypoxia [GO:0001666]; response to inactivity [GO:0014854]; response to insulin [GO:0032868]; response to L-ascorbic acid [GO:0033591]; response to lead ion [GO:0010288]; response to light intensity [GO:0009642]; response to ozone [GO:0010193]; response to phenylpropanoid [GO:0080184]; response to reactive oxygen species [GO:0000302]; response to vitamin A [GO:0033189]; response to vitamin E [GO:0033197]; triglyceride metabolic process [GO:0006641]; ureteric bud development [GO:0001657]; UV protection [GO:0009650]	GO:0000302; GO:0001649; GO:0001657; GO:0001666; GO:0004046; GO:0004096; GO:0005102; GO:0005615; GO:0005739; GO:0005758; GO:0005764; GO:0005777; GO:0005778; GO:0005782; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0005925; GO:0006195; GO:0006641; GO:0007568; GO:0008203; GO:0009060; GO:0009642; GO:0009650; GO:0010193; GO:0010288; GO:0014068; GO:0014823; GO:0014854; GO:0016020; GO:0016209; GO:0016684; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0032355; GO:0032868; GO:0033189; GO:0033197; GO:0033591; GO:0042493; GO:0042542; GO:0042744; GO:0042803; GO:0043066; GO:0043231; GO:0045471; GO:0046686; GO:0046872; GO:0050661; GO:0051092; GO:0051262; GO:0051289; GO:0051781; GO:0055093; GO:0070062; GO:0070542; GO:0071363; GO:0080184
CHOYP_LOC100371830.4.6|m.25343	BarePG-BareSK	0.395164589	sp|Q00557|CP1A1_MESAU	x	Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P-450MC)	Mesocricetus auratus (Golden hamster)	0	GO:0005506; GO:0005789; GO:0020037; GO:0031090; GO:0070330
CHOYP_G6PD.2.2|m.46923	BareSK-EelgrassSK	0.440328686	sp|P05370|G6PD_RAT	x	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	Rattus norvegicus (Rat)	cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; NADPH regeneration [GO:0006740]; NADP metabolic process [GO:0006739]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt	
CHOYP_HSPA12A.19.27|m.54978	EelgrassCI-EelgrassFB	0.517159886	sp|Q8K0U4|HS12A_MOUSE	x	Heat shock 70 kDa protein 12A	Mus musculus (Mouse)	0	GO:0005524; GO:0070062
CHOYP_BRAFLDRAFT_126822.1.1|m.14626	BareCI-EelgrassCI	0	sp|O35815|ATX3_RAT		Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1 homolog)	Rattus norvegicus (Rat)	actin cytoskeleton organization [GO:0030036]; cellular response to heat [GO:0034605]; cellular response to misfolded protein [GO:0071218]; exploration behavior [GO:0035640]; histone H3 deacetylation [GO:0070932]; intermediate filament cytoskeleton organization [GO:0045104]; microtubule cytoskeleton organization [GO:0000226]; misfolded or incompletely synthesized protein catabolic process [GO:0006515]; monoubiquitinated protein deubiquitination [GO:0035520]; positive regulation of ERAD pathway [GO:1904294]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]; protein localization to cytosolic proteasome complex involved in ERAD pathway [GO:1904379]; regulation of cell-substrate adhesion [GO:0010810]; regulation of transcription	
CHOYP_LOC100207121.5.9|m.48175	EelgrassCI-EelgrassFB	0	sp|Q96MM6|HS12B_HUMAN		Heat shock 70 kDa protein 12B	Homo sapiens (Human)	0	GO:0005524
CHOYP_LOC100374651.1.4|m.28869	BareFB-BareWB	0	sp|Q96MM6|HS12B_HUMAN		Heat shock 70 kDa protein 12B	Homo sapiens (Human)	0	GO:0005524
CHOYP_MRC1.4.4|m.63487	BareSK-EelgrassSK	0	sp|P86854|PLCL_MYTGA		Perlucin-like protein	Mytilus galloprovincialis (Mediterranean mussel)	0	GO:0005576; GO:0030246
CHOYP_LOC100366482.1.1|m.9777	EelgrassCI-EelgrassSK	0	sp|Q8T773|MDH1B_BRAFL		Putative malate dehydrogenase 1B (EC 1.1.1.-)	Branchiostoma floridae (Florida lancelet) (Amphioxus)	carbohydrate metabolic process [GO:0005975]; cell redox homeostasis [GO:0045454]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	GO:0005623; GO:0005975; GO:0006099; GO:0006108; GO:0009055; GO:0015035; GO:0016615; GO:0016616; GO:0045454
CHOYP_BRAFLDRAFT_78683.2.4|m.31427	BareFB-BareWB	0	sp|P57103|NAC3_HUMAN		Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)	Homo sapiens (Human)	calcium ion export from cell [GO:1990034]; calcium ion import into cell [GO:1990035]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cell communication [GO:0007154]; cellular calcium ion homeostasis [GO:0006874]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; ion transport [GO:0006811]; learning [GO:0007612]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transport [GO:0006851]; myelination [GO:0042552]; oligodendrocyte differentiation [GO:0048709]; regulation of cardiac conduction [GO:1903779]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transmembrane transport [GO:0035725]; telencephalon development [GO:0021537]	GO:0002244; GO:0005432; GO:0005741; GO:0005789; GO:0005874; GO:0005886; GO:0005887; GO:0006811; GO:0006851; GO:0006874; GO:0007154; GO:0007612; GO:0007613; GO:0014819; GO:0016528; GO:0021537; GO:0030054; GO:0031226; GO:0031594; GO:0035725; GO:0042383; GO:0042552; GO:0043197; GO:0043204; GO:0046872; GO:0048471; GO:0048709; GO:0051560; GO:0060291; GO:0060402; GO:0070588; GO:0071320; GO:0071456; GO:1903779; GO:1990034; GO:1990035
CHOYP_BRAFLDRAFT_114633.1.1|m.49577	EelgrassFB-EelgrassWB	0	sp|Q62348|TSN_MOUSE		Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO) (Testis/brain RNA-binding protein) (TB-RBP)	Mus musculus (Mouse)	0	GO:0003723; GO:0003729; GO:0004519; GO:0005634; GO:0005737; GO:0043565
CHOYP_LOC659206.6.6|m.43541	BareFB-BareWB	7.72E-05	sp|P02466|CO1A2_RAT		Collagen alpha-2(I) chain (Alpha-2 type I collagen)	Rattus norvegicus (Rat)	cellular response to organic substance [GO:0071310]; cellular response to retinoic acid [GO:0071300]; cellular response to thyroid hormone stimulus [GO:0097067]; extracellular matrix organization [GO:0030198]; response to norepinephrine [GO:0071873]	GO:0005201; GO:0005576; GO:0005578; GO:0005581; GO:0030198; GO:0046872; GO:0071300; GO:0071310; GO:0071873; GO:0097067
CHOYP_HS12B.9.14|m.56388	EelgrassSK-EelgrassWB	0.001130808	sp|O43301|HS12A_HUMAN		Heat shock 70 kDa protein 12A	Homo sapiens (Human)	0	GO:0005524; GO:0070062
CHOYP_HS12A.21.33|m.58427	EelgrassCI-EelgrassSK	0.003413875	sp|Q8K0U4|HS12A_MOUSE		Heat shock 70 kDa protein 12A	Mus musculus (Mouse)	0	GO:0005524; GO:0070062
CHOYP_LOC592585.1.1|m.51309	BareFB-EelgrassFB	0.003683261	sp|P16444|DPEP1_HUMAN		Dipeptidase 1 (EC 3.4.13.19) (Dehydropeptidase-I) (Microsomal dipeptidase) (Renal dipeptidase) (hRDP)	Homo sapiens (Human)	antibiotic metabolic process [GO:0016999]; cellular lactam catabolic process [GO:0072340]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to nitric oxide [GO:0071732]; glutathione metabolic process [GO:0006749]; homocysteine metabolic process [GO:0050667]; leukotriene metabolic process [GO:0006691]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; xenobiotic metabolic process [GO:0006805]	GO:0005615; GO:0005886; GO:0006691; GO:0006749; GO:0006805; GO:0008235; GO:0008239; GO:0008270; GO:0016324; GO:0016805; GO:0016999; GO:0030336; GO:0031225; GO:0031528; GO:0034235; GO:0035690; GO:0043027; GO:0043066; GO:0043154; GO:0045177; GO:0050667; GO:0070062; GO:0070573; GO:0071277; GO:0071732; GO:0072340; GO:0072341
CHOYP_NEMVEDRAFT_V1G212312.2.5|m.45586	BareCI-BareSK	0.004506062	sp|Q8K0U4|HS12A_MOUSE		Heat shock 70 kDa protein 12A	Mus musculus (Mouse)	0	GO:0005524; GO:0070062
CHOYP_PSA.1.1|m.27259	BareFB-BareSK	0.005164948	sp|Q11011|PSA_MOUSE		Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	Mus musculus (Mouse)	cellular response to hypoxia [GO:0071456]; peptide catabolic process [GO:0043171]; positive regulation of protein targeting to mitochondrion [GO:1903955]; proteolysis [GO:0006508]	GO:0004177; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006508; GO:0008270; GO:0042277; GO:0043171; GO:0070006; GO:0070062; GO:0071456; GO:1903955
CHOYP_BRAFLDRAFT_127510.1.1|m.48935	BarePG-BareWB	0.005384639	sp|P00920|CAH2_MOUSE		Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)	Mus musculus (Mouse)	angiotensin-activated signaling pathway [GO:0038166]; carbon dioxide transport [GO:0015670]; cellular response to fluid shear stress [GO:0071498]; kidney development [GO:0001822]; morphogenesis of an epithelium [GO:0002009]; odontogenesis of dentin-containing tooth [GO:0042475]; one-carbon metabolic process [GO:0006730]; positive regulation of bone resorption [GO:0045780]; positive regulation of cellular pH reduction [GO:0032849]; positive regulation of dipeptide transmembrane transport [GO:2001150]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of synaptic transmission	
CHOYP_BRAFLDRAFT_88228.1.1|m.51515	EelgrassPG-EelgrassSK	0.006469842	sp|Q9I925|FUCL7_ANGJA		Fucolectin-7	Anguilla japonica (Japanese eel)	regulation of cellular defense response [GO:0010185]; regulation of complement activation	
CHOYP_LOC580355.1.1|m.29389	EelgrassPG-EelgrassWB	0.012742198	sp|P07314|GGT1_RAT		Gamma-glutamyltranspeptidase 1 (GGT 1) (EC 2.3.2.2) (Gamma-glutamyltransferase 1) (Glutathione hydrolase 1) (EC 3.4.19.13) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Gamma-glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]	Rattus norvegicus (Rat)	aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; glutamate metabolic process [GO:0006536]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; peptide modification [GO:0031179]; response to estradiol [GO:0032355]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; zymogen activation [GO:0031638]	GO:0003840; GO:0005615; GO:0005886; GO:0005887; GO:0006536; GO:0006750; GO:0006751; GO:0007568; GO:0031179; GO:0031638; GO:0032355; GO:0032496; GO:0034599; GO:0034612; GO:0036374
CHOYP_LOC100373694.1.1|m.11753	BareFB-BareWB	0.013079725	sp|P0CB97|NDUS8_PONAB		NADH dehydrogenase [ubiquinone] iron-sulfur protein 8			
CHOYP_BRAFLDRAFT_81609.1.1|m.94	BareCI-BareFB	0.015645687	sp|Q9Y6N5|SQRD_HUMAN		Sulfide:quinone oxidoreductase			
CHOYP_MRP1.3.10|m.27615	EelgrassCI-EelgrassFB	0.026511337	sp|P33527|MRP1_HUMAN		Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	Homo sapiens (Human)	cobalamin metabolic process [GO:0009235]; leukotriene metabolic process [GO:0006691]; response to drug [GO:0042493]; transmembrane transport [GO:0055085]; transport [GO:0006810]	GO:0005215; GO:0005524; GO:0005886; GO:0005887; GO:0006691; GO:0006810; GO:0009235; GO:0015420; GO:0016020; GO:0016323; GO:0016887; GO:0042493; GO:0042626; GO:0043225; GO:0055085; GO:0070062
CHOYP_MRP1.4.10|m.27993	EelgrassCI-EelgrassFB	0.026511337	sp|Q5F364|MRP1_CHICK		Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	Gallus gallus (Chicken)	0	GO:0005524; GO:0005886; GO:0016021; GO:0042626
CHOYP_CATA.1.3|m.11120	BareFB-BareSK	0.033534055	sp|Q9PWF7|CATA_RUGRU		Catalase (EC 1.11.1.6)	Rugosa rugosa (Japanese wrinkled frog) (Glandirana rugosa)	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	GO:0004096; GO:0005777; GO:0006979; GO:0020037; GO:0042744; GO:0046872
CHOYP_NEMVEDRAFT_V1G212312.5.5|m.58424	BareFB-BarePG	0.037138195	sp|O43301|HS12A_HUMAN		Heat shock 70 kDa protein 12A	Homo sapiens (Human)	0	GO:0005524; GO:0070062
CHOYP_ACAA2.1.1|m.30666	BareCI-BareFB	0.037300493	sp|Q3T0R7|THIM_BOVIN		3-ketoacyl-CoA thiolase			
CHOYP_LOC100633041.1.1|m.35428	EelgrassCI-EelgrassWB	0.045966359	sp|Q13423|NNTM_HUMAN		NAD(P) transhydrogenase			
CHOYP_BRAFLDRAFT_78229.1.1|m.52210	EelgrassPG-EelgrassWB	0.047604837	sp|Q9P2K2|TXD16_HUMAN		Thioredoxin domain-containing protein 16	Homo sapiens (Human)	cell redox homeostasis [GO:0045454]	GO:0005788; GO:0045454; GO:0070062
CHOYP_NEMVEDRAFT_V1G246686.1.1|m.53126	EelgrassFB-EelgrassWB	0.049027426	sp|B3EWY7|ASOMP_ACRMI		Acidic skeletal organic matrix protein (Acidic SOMP)	Acropora millepora (Staghorn coral)	0	GO:0005576
CHOYP_HS90A.1.3|m.7724	BareFB-BarePG	0.049751429	sp|P04809|HSP83_DROPS		Heat shock protein 83 (HSP 82)	Drosophila pseudoobscura pseudoobscura (Fruit fly)	protein folding [GO:0006457]; response to stress [GO:0006950]	GO:0005524; GO:0005737; GO:0006457; GO:0006950
CHOYP_CH60.1.1|m.26967	EelgrassCI-EelgrassFB	0.052668231	sp|O02649|CH60_DROME		60 kDa heat shock protein			
CHOYP_GPX5.1.1|m.44157	EelgrassCI-EelgrassSK	0.058208741	sp|P30710|GPX5_RAT		Epididymal secretory glutathione peroxidase (EC 1.11.1.9) (Epididymis-specific glutathione peroxidase-like protein) (EGLP) (Glutathione peroxidase 5) (GPx-5) (GSHPx-5)	Rattus norvegicus (Rat)	response to oxidative stress [GO:0006979]	GO:0004602; GO:0005576; GO:0006979
CHOYP_MRC1.2.4|m.22571	BarePG-BareSK	0.060355683	sp|P86854|PLCL_MYTGA		Perlucin-like protein	Mytilus galloprovincialis (Mediterranean mussel)	0	GO:0005576; GO:0030246
CHOYP_PDIA1.1.1|m.5297	BareFB-BareWB	0.060363056	sp|P04785|PDIA1_RAT		Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta)	Rattus norvegicus (Rat)	cell redox homeostasis [GO:0045454]; cellular response to hypoxia [GO:0071456]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976]	GO:0003756; GO:0004656; GO:0005783; GO:0005788; GO:0005793; GO:0005925; GO:0006457; GO:0009897; GO:0016222; GO:0018401; GO:0019899; GO:0034663; GO:0034976; GO:0042470; GO:0044822; GO:0045454; GO:0046598; GO:0046982; GO:0070062; GO:0071456; GO:1902175
CHOYP_CD209A.2.2|m.62956	BareFB-BareWB	0.060991135	sp|P86854|PLCL_MYTGA		Perlucin-like protein	Mytilus galloprovincialis (Mediterranean mussel)	0	GO:0005576; GO:0030246
CHOYP_HS12B.10.14|m.59859	EelgrassCI-EelgrassSK	0.064536102	sp|Q96MM6|HS12B_HUMAN		Heat shock 70 kDa protein 12B	Homo sapiens (Human)	0	GO:0005524
CHOYP_MAPK7.1.1|m.33213	EelgrassPG-EelgrassSK	0.067387598	sp|Q9WVS8|MK07_MOUSE		Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	Mus musculus (Mouse)	cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to transforming growth factor beta stimulus [GO:0071560]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of ERK5 cascade [GO:0070377]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NFAT protein import into nucleus [GO:0051534]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of response to cytokine stimulus [GO:0060761]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; protein phosphorylation [GO:0006468]; regulation of angiogenesis [GO:0045765]	GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006468; GO:0007049; GO:0016605; GO:0018105; GO:0030154; GO:0034115; GO:0036003; GO:0043066; GO:0043407; GO:0045765; GO:0045944; GO:0051019; GO:0051247; GO:0051534; GO:0060761; GO:0070301; GO:0070377; GO:0071363; GO:0071499; GO:0071560; GO:1902176; GO:2000352; GO:2001240
CHOYP_DGRI_GH15309.1.1|m.15570	BareCI-BareFB	0.070327551	sp|Q0MQD8|NDUB5_PANTR		NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5			
CHOYP_CP3AB.4.4|m.47872	EelgrassPG-EelgrassSK	0.071282606	sp|Q64459|CP3AB_MOUSE		Cytochrome P450 3A11 (EC 1.14.14.1) (CYPIIIA11) (Cytochrome P-450IIIAM1) (Cytochrome P-450UT)	Mus musculus (Mouse)	0	GO:0004497; GO:0005506; GO:0005789; GO:0016491; GO:0020037; GO:0031090; GO:0070330
CHOYP_LOC101416772.1.1|m.30815	EelgrassCI-EelgrassSK	0.077765825	sp|Q9W6X3|CH10_ORYLA		10 kDa heat shock protein			
CHOYP_HS12A.14.33|m.41988	EelgrassPG-EelgrassWB	0.080112112	sp|Q9CZJ2|HS12B_MOUSE		Heat shock 70 kDa protein 12B	Mus musculus (Mouse)	0	GO:0005524
CHOYP_BRAFLDRAFT_120970.1.1|m.63798	EelgrassCI-EelgrassSK	0.082081835	sp|O75131|CPNE3_HUMAN		Copine-3 (Copine III)	Homo sapiens (Human)	cellular response to calcium ion [GO:0071277]; cellular response to growth factor stimulus [GO:0071363]; ERBB2 signaling pathway [GO:0038128]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; positive regulation of cell migration [GO:0030335]; vesicle-mediated transport [GO:0016192]	GO:0004674; GO:0005215; GO:0005544; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006629; GO:0016192; GO:0030054; GO:0030335; GO:0030971; GO:0038128; GO:0044822; GO:0046474; GO:0048306; GO:0070062; GO:0071277; GO:0071363
CHOYP_HSPA12A.15.27|m.45635	BareFB-BareWB	0.086297744	sp|Q96MM6|HS12B_HUMAN		Heat shock 70 kDa protein 12B	Homo sapiens (Human)	0	GO:0005524
CHOYP_LOC582178.1.1|m.42729	EelgrassCI-EelgrassSK	0.089663217	sp|Q91VD9|NDUS1_MOUSE		NADH-ubiquinone oxidoreductase 75 kDa subunit			
CHOYP_HSP74.1.1|m.13095	BareFB-BareSK	0.096218556	sp|P41827|HSP74_ANOAL		Heat shock protein 70 B2	Anopheles albimanus (New world malaria mosquito)	0	GO:0005524
