"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage","accession","Code1","Annotation","Code2","Species","BiologicalProcess","GOTerms","Pathway","ProteinCode"
"CHOYP_1433Z.1.1|m.17045","Eelgrass-Bare",0.506301247638788,0.566463409520536,0.893793383878634,16,0.384679898112678,0.942060864972504,NA,0,0,"sp|Q2F637|1433Z_BOMMO","1433Z_BOMMO","14-3-3 protein zeta","14-3-3zeta","Bombyx mori (Silk moth)","0","GO:0005737","0","PF00244;"
"CHOYP_AAEL_AAEL008069.2.2|m.60920","Eelgrass-Bare",-0.90254935870484,1.26605077738652,-0.712885592604706,16,0.486184377749393,0.967872444534173,NA,0,0,"sp|P46531|NOTC1_HUMAN","NOTC1_HUMAN","Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]","NOTCH1 TAN1","Homo sapiens (Human)","aortic valve morphogenesis [GO:0003180]; apoptotic process involved in embryonic digit morphogenesis [GO:1902263]; arterial endothelial cell differentiation [GO:0060842]; astrocyte differentiation [GO:0048708]; atrioventricular node development [GO:0003162]; atrioventricular valve morphogenesis [GO:0003181]; auditory receptor cell fate commitment [GO:0009912]; axonogenesis [GO:0007409]; branching morphogenesis of an epithelial tube [GO:0048754]; cardiac atrium morphogenesis [GO:0003209]; cardiac chamber formation [GO:0003207]; cardiac epithelial to mesenchymal transition [GO:0060317]; cardiac left ventricle morphogenesis [GO:0003214]; cardiac muscle cell proliferation [GO:0060038]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac right atrium morphogenesis [GO:0003213]; cardiac right ventricle formation [GO:0003219]; cardiac septum morphogenesis [GO:0060411]; cardiac vascular smooth muscle cell development [GO:0060948]; cardiac ventricle morphogenesis [GO:0003208]; cell differentiation in spinal cord [GO:0021515]; cell fate specification [GO:0001708]; cell migration involved in endocardial cushion formation [GO:0003273]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cilium morphogenesis [GO:0060271]; collecting duct development [GO:0072044]; compartment pattern specification [GO:0007386]; coronary artery morphogenesis [GO:0060982]; coronary vein morphogenesis [GO:0003169]; determination of left/right symmetry [GO:0007368]; distal tubule development [GO:0072017]; embryonic hindlimb morphogenesis [GO:0035116]; endocardial cell differentiation [GO:0060956]; endocardial cushion morphogenesis [GO:0003203]; endocardium development [GO:0003157]; endocardium morphogenesis [GO:0003160]; endoderm development [GO:0007492]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; forebrain development [GO:0030900]; foregut morphogenesis [GO:0007440]; glomerular mesangial cell development [GO:0072144]; growth involved in heart morphogenesis [GO:0003241]; hair follicle morphogenesis [GO:0031069]; heart development [GO:0007507]; heart looping [GO:0001947]; heart trabecula morphogenesis [GO:0061384]; humoral immune response [GO:0006959]; immune response [GO:0006955]; inflammatory response to antigenic stimulus [GO:0002437]; interleukin-4 secretion [GO:0072602]; in utero embryonic development [GO:0001701]; keratinocyte differentiation [GO:0030216]; left/right axis specification [GO:0070986]; liver development [GO:0001889]; lung development [GO:0030324]; mesenchymal cell development [GO:0014031]; mitral valve formation [GO:0003192]; negative regulation of anoikis [GO:2000811]; negative regulation of auditory receptor cell differentiation [GO:0045608]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of catalytic activity [GO:0043086]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of cell proliferation [GO:0008285]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of endothelial cell chemotaxis [GO:2001027]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of neurogenesis [GO:0050768]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of ossification [GO:0030279]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of photoreceptor cell differentiation [GO:0046533]; negative regulation of pro-B cell differentiation [GO:2000974]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; neural tube development [GO:0021915]; neuronal stem cell population maintenance [GO:0097150]; Notch signaling involved in heart development [GO:0061314]; Notch signaling pathway [GO:0007219]; Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003270]; oligodendrocyte differentiation [GO:0048709]; organ regeneration [GO:0031100]; pericardium morphogenesis [GO:0003344]; positive regulation of apoptotic process [GO:0043065]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell migration [GO:0030335]; positive regulation of cell proliferation [GO:0008284]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of JAK-STAT cascade [GO:0046427]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of transcription of Notch receptor target [GO:0007221]; positive regulation of viral genome replication [GO:0045070]; positive regulation of viral transcription [GO:0050434]; prostate gland epithelium morphogenesis [GO:0060740]; pulmonary valve morphogenesis [GO:0003184]; regulation of epithelial cell proliferation involved in prostate gland development [GO:0060768]; regulation of extracellular matrix assembly [GO:1901201]; regulation of somitogenesis [GO:0014807]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation [GO:0003256]; response to corticosteroid [GO:0031960]; response to lipopolysaccharide [GO:0032496]; response to muramyl dipeptide [GO:0032495]; secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development [GO:0060528]; skeletal muscle cell differentiation [GO:0035914]; somatic stem cell division [GO:0048103]; spermatogenesis [GO:0007283]; sprouting angiogenesis [GO:0002040]; tissue regeneration [GO:0042246]; transcription initiation from RNA polymerase II promoter [GO:0006367]; tube formation [GO:0035148]; vasculogenesis involved in coronary vascular morphogenesis [GO:0060979]; venous endothelial cell differentiation [GO:0060843]; ventricular septum morphogenesis [GO:0060412]; ventricular trabecula myocardium morphogenesis [GO:0003222]","GO:0000122; GO:0000139; GO:0001047; GO:0001190; GO:0001669; GO:0001701; GO:0001708; GO:0001837; GO:0001889; GO:0001947; GO:0002040; GO:0002052; GO:0002193; GO:0002437; GO:0003157; GO:0003160; GO:0003162; GO:0003169; GO:0003180; GO:0003181; GO:0003184; GO:0003192; GO:0003198; GO:0003203; GO:0003207; GO:0003208; GO:0003209; GO:0003213; GO:0003214; GO:0003219; GO:0003222; GO:0003241; GO:0003256; GO:0003270; GO:0003273; GO:0003344; GO:0003700; GO:0004857; GO:0004872; GO:0005509; GO:0005576; GO:0005634; GO:0005654; GO:0005789; GO:0005829; GO:0005886; GO:0005912; GO:0006355; GO:0006367; GO:0006955; GO:0006959; GO:0007219; GO:0007221; GO:0007283; GO:0007368; GO:0007386; GO:0007409; GO:0007440; GO:0007492; GO:0007507; GO:0008284; GO:0008285; GO:0009912; GO:0009986; GO:0010718; GO:0010812; GO:0010832; GO:0014031; GO:0014807; GO:0016021; GO:0016324; GO:0019899; GO:0021515; GO:0021915; GO:0030216; GO:0030279; GO:0030324; GO:0030335; GO:0030513; GO:0030514; GO:0030900; GO:0031069; GO:0031100; GO:0031490; GO:0031960; GO:0032495; GO:0032496; GO:0035116; GO:0035148; GO:0035914; GO:0035924; GO:0042246; GO:0043065; GO:0043086; GO:0043235; GO:0043565; GO:0045070; GO:0045603; GO:0045608; GO:0045618; GO:0045662; GO:0045668; GO:0045747; GO:0045892; GO:0045893; GO:0045944; GO:0045955; GO:0046427; GO:0046533; GO:0048103; GO:0048708; GO:0048709; GO:0048711; GO:0048715; GO:0048754; GO:0050434; GO:0050679; GO:0050768; GO:0055008; GO:0060038; GO:0060045; GO:0060253; GO:0060271; GO:0060317; GO:0060411; GO:0060412; GO:0060528; GO:0060740; GO:0060768; GO:0060842; GO:0060843; GO:0060948; GO:0060956; GO:0060979; GO:0060982; GO:0061314; GO:0061384; GO:0061419; GO:0070986; GO:0071372; GO:0072017; GO:0072044; GO:0072144; GO:0072602; GO:0090051; GO:0090090; GO:0097150; GO:1901201; GO:1902263; GO:2000737; GO:2000811; GO:2000974; GO:2001027","0","PF12796;PF11936;PF00008;PF07645;PF12661;PF06816;PF07684;PF00066;"
"CHOYP_AAEL_AAEL009169.1.1|m.24699","Eelgrass-Bare",-0.076408161643079,0.187304893583908,-0.407934679020278,16,0.68872831257646,0.98810540699643,NA,0.0107142857142857,0.0107142857142857,"sp|Q3TZZ7|ESYT2_MOUSE","ESYT2_MOUSE","Extended synaptotagmin-2 (E-Syt2)","Esyt2 D12Ertd551e Fam62b","Mus musculus (Mouse)","endocytosis [GO:0006897]; lipid transport [GO:0006869]","GO:0005509; GO:0005544; GO:0005887; GO:0006869; GO:0006897; GO:0008429; GO:0016020; GO:0031210; GO:0031227; GO:0031234; GO:0035091; GO:0042802; GO:0044232","0","PF00168;PF17047;"
"CHOYP_AAEL_AAEL009387.1.1|m.66163","Eelgrass-Bare",0.706783606856516,0.641315315668292,1.10208440308338,16,0.286727479068323,0.890993706905979,NA,0,0,"sp|Q9NFT7|HXK2_DROME","HXK2_DROME","Hexokinase type 2 (EC 2.7.1.1)","Hex-t2 Hex CG32849","Drosophila melanogaster (Fruit fly)","cellular glucose homeostasis [GO:0001678]; fructose metabolic process [GO:0006000]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]; mannose metabolic process [GO:0006013]","GO:0001678; GO:0004340; GO:0004396; GO:0005524; GO:0005536; GO:0005829; GO:0006000; GO:0006006; GO:0006013; GO:0006096; GO:0008865; GO:0019158","PATHWAY: Carbohydrate metabolism; hexose metabolism.","PF00349;PF03727;"
"CHOYP_AAEL_AAEL010939.1.1|m.64870","Eelgrass-Bare",2.31030499589337,1.23410664633259,1.87204647407007,16,0.0795953502478992,0.826917896950962,NA,0,0,"sp|Q66HY8|PDXD1_DANRE","PDXD1_DANRE","Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)","pdxdc1 zgc:92179","Danio rerio (Zebrafish) (Brachydanio rerio)","carboxylic acid metabolic process [GO:0019752]","GO:0016831; GO:0019752; GO:0030170","0","PF00282;"
"CHOYP_AAEL_AAEL011742.1.1|m.27651","Eelgrass-Bare",0.621116649335454,0.674696882210819,0.920586215398246,16,0.370938898457459,0.936816637037368,NA,0,0,"sp|Q9VPH7|ERF1_DROME","ERF1_DROME","Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1)","eRF1 CG5605","Drosophila melanogaster (Fruit fly)","autophagic cell death [GO:0048102]; salivary gland cell autophagic cell death [GO:0035071]; smoothened signaling pathway [GO:0007224]; translational termination [GO:0006415]","GO:0005829; GO:0006415; GO:0007224; GO:0008079; GO:0016149; GO:0035071; GO:0048102","0","PF03463;PF03464;PF03465;"
"CHOYP_AAEL_AAEL011979.1.1|m.59057","Eelgrass-Bare",0.410818596945431,0.400300624198323,1.0262751844771,16,0.320028317808439,0.906777908808755,NA,0,0,"sp|Q91WQ9|CALL4_MOUSE","CALL4_MOUSE","Calmodulin-like protein 4 (Calmodulin-related) (CALM-Rel)","Calml4","Mus musculus (Mouse)","0","GO:0005509","0","PF13499;PF13833;"
"CHOYP_AAEL_AAEL012950.1.1|m.1373","Eelgrass-Bare",-0.0535960258422047,0.453061725744984,-0.118297403635399,16,0.907304442622831,0.994769849747695,NA,0,0,"sp|P91929|NDUAA_DROME","NDUAA_DROME","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)","ND-42 CG6343","Drosophila melanogaster (Fruit fly)","regulation of glucose metabolic process [GO:0010906]","GO:0005739; GO:0005759; GO:0005811; GO:0008137; GO:0010906; GO:0070469","0","PF01712;"
"CHOYP_AAEL_AAEL014931.1.1|m.24932","Eelgrass-Bare",2.58642968942114,1.66200234170897,1.55621302359996,15,0.140501125531727,0.854358147564395,NA,0.05,0,"sp|Q6IDD9|SARM1_DROME","SARM1_DROME","Sterile alpha and TIR motif-containing protein 1 (Tir-1 homolog) (dSarm)","Ect4 dsarm CG43119","Drosophila melanogaster (Fruit fly)","innate immune response [GO:0045087]; regulation of neuron death [GO:1901214]; response to axon injury [GO:0048678]; signal transduction [GO:0007165]","GO:0005737; GO:0007165; GO:0030424; GO:0043005; GO:0043025; GO:0045087; GO:0048678; GO:1901214","0","PF07647;PF13676;"
"CHOYP_AAMP.1.1|m.13698","Eelgrass-Bare",-0.0183329586622108,1.00935182106657,-0.0181631005954283,16,0.985733309974307,0.99983025867803,NA,0,0,"sp|Q13685|AAMP_HUMAN","AAMP_HUMAN","Angio-associated migratory cell protein","AAMP","Homo sapiens (Human)","angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of endothelial cell migration [GO:0010595]; ribosomal large subunit biogenesis [GO:0042273]; smooth muscle cell migration [GO:0014909]","GO:0001525; GO:0005737; GO:0005886; GO:0008201; GO:0009986; GO:0010595; GO:0014909; GO:0015630; GO:0030154; GO:0030687; GO:0042273; GO:0045171; GO:0051082","0","PF00400;"
"CHOYP_AATM.1.1|m.32176","Eelgrass-Bare",-0.0658778127759774,0.137164913117737,-0.480281810257339,16,0.637527539733538,0.980207133706067,NA,0,0,"sp|Q28F67|AATM_XENTR","AATM_XENTR","Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Transaminase A)","got2 TGas123d19.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","2-oxoglutarate metabolic process [GO:0006103]; aspartate catabolic process [GO:0006533]; aspartate metabolic process [GO:0006531]; biosynthetic process [GO:0009058]; glutamate metabolic process [GO:0006536]","GO:0004069; GO:0005739; GO:0005759; GO:0005886; GO:0006103; GO:0006531; GO:0006533; GO:0006536; GO:0009058; GO:0016212; GO:0030170; GO:0042802; GO:0080130","0","PF00155;"
"CHOYP_ABCA1.3.3|m.56453","Eelgrass-Bare",-0.201196842092385,0.690562356004669,-0.291352171665472,16,0.774525247579073,0.994769849747695,NA,0,0,"sp|P41233|ABCA1_MOUSE","ABCA1_MOUSE","ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1)","Abca1 Abc1","Mus musculus (Mouse)","cellular response to cholesterol [GO:0071397]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to retinoic acid [GO:0071300]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; endosomal transport [GO:0016197]; G-protein coupled receptor signaling pathway [GO:0007186]; high-density lipoprotein particle assembly [GO:0034380]; interleukin-1 beta secretion [GO:0050702]; intracellular cholesterol transport [GO:0032367]; lipoprotein biosynthetic process [GO:0042158]; lipoprotein metabolic process [GO:0042157]; lysosome organization [GO:0007040]; peptide secretion [GO:0002790]; phagocytosis, engulfment [GO:0006911]; phospholipid efflux [GO:0033700]; phospholipid homeostasis [GO:0055091]; phospholipid translocation [GO:0045332]; platelet dense granule organization [GO:0060155]; positive regulation of cAMP biosynthetic process [GO:0030819]; positive regulation of cholesterol efflux [GO:0010875]; protein lipidation [GO:0006497]; regulation of Cdc42 protein signal transduction [GO:0032489]; response to drug [GO:0042493]; response to laminar fluid shear stress [GO:0034616]; response to low-density lipoprotein particle [GO:0055098]; response to nutrient [GO:0007584]; reverse cholesterol transport [GO:0043691]","GO:0002790; GO:0005102; GO:0005524; GO:0005548; GO:0005794; GO:0005886; GO:0005887; GO:0006497; GO:0006911; GO:0007040; GO:0007186; GO:0007584; GO:0008203; GO:0008509; GO:0009897; GO:0010875; GO:0016197; GO:0017127; GO:0019905; GO:0030139; GO:0030819; GO:0031267; GO:0032367; GO:0032489; GO:0033344; GO:0033700; GO:0034185; GO:0034186; GO:0034188; GO:0034364; GO:0034380; GO:0034616; GO:0042157; GO:0042158; GO:0042493; GO:0042626; GO:0042632; GO:0043231; GO:0043691; GO:0045121; GO:0045332; GO:0045335; GO:0048471; GO:0050702; GO:0051117; GO:0055091; GO:0055098; GO:0060155; GO:0071222; GO:0071300; GO:0071397","0","PF00005;"
"CHOYP_ABCB6.2.3|m.11344","Eelgrass-Bare",-0.222154258814669,0.125761926534,-1.76646672754818,16,0.0963860418875617,0.835364477495249,NA,0,0,"sp|O94760|DDAH1_HUMAN","DDAH1_HUMAN","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)","DDAH1 DDAH","Homo sapiens (Human)","arginine catabolic process [GO:0006527]; citrulline metabolic process [GO:0000052]; nitric oxide mediated signal transduction [GO:0007263]; positive regulation of angiogenesis [GO:0045766]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; regulation of nitric-oxide synthase activity [GO:0050999]; regulation of systemic arterial blood pressure [GO:0003073]","GO:0000052; GO:0003073; GO:0003824; GO:0005739; GO:0005829; GO:0006527; GO:0007263; GO:0016403; GO:0016597; GO:0045429; GO:0045766; GO:0046872; GO:0050999; GO:0070062","0","0"
