Protein,Label,adj.pvalue,accession,interesting,Annotation.x,Species.x,BiologicalProcess.x,GOTerms,C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Evalue,C14,C15,reviewed,Annotation.y,C18,Species.y,C20,BiologicalProcess.y,GOTerm,Pathway,C24,C25,C26
CHOYP_LOC100150876.1.1|m.61100,EelgrassFB-EelgrassSK,0.001227546,sp|Q96NN9|AIFM3_HUMAN,x,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),Homo sapiens (Human),cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,Q96NN9,sp,AIFM3_HUMAN,46.024,591,301,3,227,812,9,586,0,574,AIFM3_HUMAN,reviewed,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),AIFM3 AIFL,Homo sapiens (Human),605,cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,0,0,0,PF07992;PF14759;PF00355;
CHOYP_LOC100371830.4.6|m.25343,BarePG-BareSK,0.395164589,sp|Q00557|CP1A1_MESAU,x,Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P-450MC),Mesocricetus auratus (Golden hamster),0,GO:0005506; GO:0005789; GO:0020037; GO:0031090; GO:0070330,Q00557,sp,CP1A1_MESAU,30.343,379,238,9,8,366,11,383,2.21E-47,813,HYOU1_DANRE,reviewed,Hypoxia up-regulated protein 1,hyou1,Danio rerio (Zebrafish) (Brachydanio rerio),980,0,GO:0005524; GO:0005788,0,0,0,PF00012;
CHOYP_LOC100377195.2.2|m.61720,BareCI-BareFB,0.185238311,sp|P86786|GIGA3_CRAGI,x,Gigasin-3a (Fragment),Crassostrea gigas (Pacific oyster) (Crassostrea angulata),0,0,P86786,sp,GIGA3_CRAGI,45.05,202,111,0,357,558,2,203,3.01E-58,743,CATA_BOVIN,reviewed,Catalase (EC 1.11.1.6),CAT,Bos taurus (Bovine),527,aerobic respiration [GO:0009060]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; osteoblast differentiation [GO:0001649]; oxidation-reduction process [GO:0055114]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; response to hydrogen peroxide [GO:0042542]; triglyceride metabolic process [GO:0006641]; UV protection [GO:0009650],GO:0001649; GO:0004046; GO:0004096; GO:0005739; GO:0005777; GO:0005778; GO:0005925; GO:0006641; GO:0008203; GO:0009060; GO:0009650; GO:0014068; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0042542; GO:0042744; GO:0043066; GO:0046872; GO:0050661; GO:0051092; GO:0051289; GO:0051781; GO:0055114; GO:0070062,0,0,0,PF00199;PF06628;
CHOYP_LOC101169658.1.3|m.18820,BareCI-BareFB,0.083897976,sp|Q08420|SODE_RAT,x,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1) (Superoxide dismutase B),Rattus norvegicus (Rat),response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; response to superoxide [GO:0000303],GO:0000303; GO:0001666; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005737; GO:0005802; GO:0006979; GO:0008270; GO:0031012; GO:0046688; GO:0070062,Q08420,sp,SODE_RAT,29.268,164,96,7,318,467,65,222,1.04E-08,542,CATA_HUMAN,reviewed,Catalase (EC 1.11.1.6),CAT,Homo sapiens (Human),527,aerobic respiration [GO:0009060]; aging [GO:0007568]; cellular response to growth factor stimulus [GO:0071363]; cholesterol metabolic process [GO:0008203]; hemoglobin metabolic process [GO:0020027]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of apoptotic process [GO:0043066]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; osteoblast differentiation [GO:0001649]; positive regulation of cell division [GO:0051781]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein homotetramerization [GO:0051289]; protein tetramerization [GO:0051262]; purine nucleotide catabolic process [GO:0006195]; response to activity [GO:0014823]; response to cadmium ion [GO:0046686]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]; response to hydrogen peroxide [GO:0042542]; response to hyperoxia [GO:0055093]; response to hypoxia [GO:0001666]; response to inactivity [GO:0014854]; response to insulin [GO:0032868]; response to L-ascorbic acid [GO:0033591]; response to lead ion [GO:0010288]; response to light intensity [GO:0009642]; response to ozone [GO:0010193]; response to phenylpropanoid [GO:0080184]; response to reactive oxygen species [GO:0000302]; response to vitamin A [GO:0033189]; response to vitamin E [GO:0033197]; triglyceride metabolic process [GO:0006641]; ureteric bud development [GO:0001657]; UV protection [GO:0009650],GO:0000302; GO:0001649; GO:0001657; GO:0001666; GO:0004046; GO:0004096; GO:0005102; GO:0005615; GO:0005739; GO:0005758; GO:0005764; GO:0005777; GO:0005778; GO:0005782; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0005925; GO:0006195; GO:0006641; GO:0007568; GO:0008203; GO:0009060; GO:0009642; GO:0009650; GO:0010193; GO:0010288; GO:0014068; GO:0014823; GO:0014854; GO:0016020; GO:0016209; GO:0016684; GO:0019899; GO:0020027; GO:0020037; GO:0032088; GO:0032355; GO:0032868; GO:0033189; GO:0033197; GO:0033591; GO:0042493; GO:0042542; GO:0042744; GO:0042803; GO:0043066; GO:0043231; GO:0045471; GO:0046686; GO:0046872; GO:0050661; GO:0051092; GO:0051262; GO:0051289; GO:0051781; GO:0055093; GO:0070062; GO:0070542; GO:0071363; GO:0080184,0,0,0,PF00199;PF06628;
CHOYP_LOC576041.1.1|m.28220,BareCI-BareFB,0.003435793,sp|Q92051|CAHZ_DANRE,x,Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),Danio rerio (Zebrafish) (Brachydanio rerio),carbon dioxide transport [GO:0015670]; hypotonic salinity response [GO:0042539]; one-carbon metabolic process [GO:0006730],GO:0004089; GO:0006730; GO:0008270; GO:0015670; GO:0042539,Q92051,sp,CAHZ_DANRE,42.164,268,137,11,21,280,2,259,5.80E-58,172,CP1A1_MESAU,reviewed,Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P-450MC),CYP1A1,Mesocricetus auratus (Golden hamster),524,0,GO:0005506; GO:0005789; GO:0020037; GO:0031090; GO:0070330,0,0,0,PF00067;
CHOYP_MANL.8.9|m.48353,EelgrassSK-EelgrassWB,0.144537793,sp|P86856|MANL_MYTCA,x,Nacrein-like protein (Fragment),Mytilus californianus (California mussel),0,GO:0005576,P86856,sp,MANL_MYTCA,39.71,345,138,10,53,355,2,318,3.66E-68,745,G6PD_RAT,reviewed,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),G6pdx G6pd,Rattus norvegicus (Rat),515,"cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; NADPH regeneration [GO:0006740]; NADP metabolic process [GO:0006739]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]; positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904879]; regulation of neuron apoptotic process [GO:0043523]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to iron(III) ion [GO:0010041]; response to organic cyclic compound [GO:0014070]; ribose phosphate biosynthetic process [GO:0046390]; substantia nigra development [GO:0021762]",GO:0004345; GO:0005536; GO:0005634; GO:0005813; GO:0005829; GO:0006006; GO:0006098; GO:0006695; GO:0006739; GO:0006740; GO:0006749; GO:0009051; GO:0009898; GO:0010041; GO:0010734; GO:0014070; GO:0019322; GO:0021762; GO:0030246; GO:0032094; GO:0034599; GO:0043231; GO:0043249; GO:0043523; GO:0045471; GO:0046390; GO:0050661; GO:0051156; GO:0061052; GO:0070062; GO:1904879; GO:2000378,PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 1/3.,0,0,PF02781;PF00479;
CHOYP_MRP1.5.10|m.34368,BareFB-BareSK,0.01092948,sp|Q8CG09|MRP1_RAT,x,Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter),Rattus norvegicus (Rat),cell chemotaxis [GO:0060326]; daunorubicin transport [GO:0043215]; drug export [GO:0046618]; drug transmembrane transport [GO:0006855]; glutathione transmembrane transport [GO:0034775]; negative regulation of neuron death [GO:1901215]; phospholipid efflux [GO:0033700]; plasma membrane long-chain fatty acid transport [GO:0015911]; positive regulation of cell migration [GO:0030335]; response to drug [GO:0042493]; response to oxidative stress [GO:0006979]; transmembrane transport [GO:0055085]; xenobiotic transport [GO:0042908],GO:0005324; GO:0005524; GO:0005737; GO:0005886; GO:0005887; GO:0006855; GO:0006979; GO:0008559; GO:0015238; GO:0015431; GO:0015562; GO:0015911; GO:0016020; GO:0016323; GO:0016491; GO:0030335; GO:0033700; GO:0034040; GO:0034634; GO:0034775; GO:0042493; GO:0042908; GO:0043215; GO:0046618; GO:0046624; GO:0055085; GO:0060326; GO:1901215,Q8CG09,sp,MRP1_RAT,48.925,1582,738,20,4,1566,2,1532,0,157,HS12A_MOUSE,reviewed,Heat shock 70 kDa protein 12A,Hspa12a Kiaa0417,Mus musculus (Mouse),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_ACAA2.1.1|m.30666,BareCI-BareFB,0.037300493,sp|Q3T0R7|THIM_BOVIN,,"3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)",Bos taurus (Bovine),cellular response to hypoxia [GO:0071456]; fatty acid metabolic process [GO:0006631]; negative regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902109]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029],GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109,Q3T0R7,sp,THIM_BOVIN,62.814,398,144,2,1,398,1,394,0,471,MDH1B_BRAFL,reviewed,Putative malate dehydrogenase 1B (EC 1.1.1.-),MDH1B,Branchiostoma floridae (Florida lancelet) (Amphioxus),522,carbohydrate metabolic process [GO:0005975]; cell redox homeostasis [GO:0045454]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099],GO:0005623; GO:0005975; GO:0006099; GO:0006108; GO:0009055; GO:0015035; GO:0016615; GO:0016616; GO:0045454,0,0,0,PF02866;PF00056;
CHOYP_BRAFLDRAFT_101346.1.1|m.1028,BareFB-BareWB,0.174789568,sp|Q6PDY2|AEDO_MOUSE,,2-aminoethanethiol dioxygenase (EC 1.13.11.19) (Cysteamine dioxygenase),Mus musculus (Mouse),oxidation-reduction process [GO:0055114],GO:0005739; GO:0046872; GO:0047800; GO:0055114,Q6PDY2,sp,AEDO_MOUSE,34.8,250,151,4,15,254,5,252,6.21E-39,433,NAC3_HUMAN,reviewed,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),SLC8A3 NCX3,Homo sapiens (Human),927,calcium ion export from cell [GO:1990034]; calcium ion import into cell [GO:1990035]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cell communication [GO:0007154]; cellular calcium ion homeostasis [GO:0006874]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; ion transport [GO:0006811]; learning [GO:0007612]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transport [GO:0006851]; myelination [GO:0042552]; oligodendrocyte differentiation [GO:0048709]; regulation of cardiac conduction [GO:1903779]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transmembrane transport [GO:0035725]; telencephalon development [GO:0021537],GO:0002244; GO:0005432; GO:0005741; GO:0005789; GO:0005874; GO:0005886; GO:0005887; GO:0006811; GO:0006851; GO:0006874; GO:0007154; GO:0007612; GO:0007613; GO:0014819; GO:0016528; GO:0021537; GO:0030054; GO:0031226; GO:0031594; GO:0035725; GO:0042383; GO:0042552; GO:0043197; GO:0043204; GO:0046872; GO:0048471; GO:0048709; GO:0051560; GO:0060291; GO:0060402; GO:0070588; GO:0071320; GO:0071456; GO:1903779; GO:1990034; GO:1990035,0,0,0,PF03160;PF01699;PF16494;
CHOYP_BRAFLDRAFT_114633.1.1|m.49577,EelgrassFB-EelgrassWB,0,sp|Q62348|TSN_MOUSE,,Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO) (Testis/brain RNA-binding protein) (TB-RBP),Mus musculus (Mouse),0,GO:0003723; GO:0003729; GO:0004519; GO:0005634; GO:0005737; GO:0043565,Q62348,sp,TSN_MOUSE,55.814,215,95,0,10,224,3,217,1.40E-89,306,ATX3_RAT,reviewed,Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1 homolog),Atxn3 Mjd Sca3,Rattus norvegicus (Rat),355,"actin cytoskeleton organization [GO:0030036]; cellular response to heat [GO:0034605]; cellular response to misfolded protein [GO:0071218]; exploration behavior [GO:0035640]; histone H3 deacetylation [GO:0070932]; intermediate filament cytoskeleton organization [GO:0045104]; microtubule cytoskeleton organization [GO:0000226]; misfolded or incompletely synthesized protein catabolic process [GO:0006515]; monoubiquitinated protein deubiquitination [GO:0035520]; positive regulation of ERAD pathway [GO:1904294]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]; protein localization to cytosolic proteasome complex involved in ERAD pathway [GO:1904379]; regulation of cell-substrate adhesion [GO:0010810]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",GO:0000226; GO:0001012; GO:0004843; GO:0005634; GO:0005759; GO:0005789; GO:0005829; GO:0006351; GO:0006355; GO:0006515; GO:0008242; GO:0010810; GO:0030036; GO:0031625; GO:0031966; GO:0034605; GO:0035520; GO:0035640; GO:0042405; GO:0042802; GO:0043161; GO:0045104; GO:0051117; GO:0061578; GO:0070536; GO:0070932; GO:0071108; GO:0071218; GO:1904294; GO:1904379; GO:1990380,0,0,0,PF02099;PF02809;
CHOYP_BRAFLDRAFT_114859.1.1|m.37271,BareCI-BareFB,0.470170721,sp|Q15119|PDK2_HUMAN,,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)",Homo sapiens (Human),cellular response to nutrient [GO:0031670]; cellular response to reactive oxygen species [GO:0034614]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; insulin receptor signaling pathway [GO:0008286]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0010510]; regulation of cellular ketone metabolic process [GO:0010565]; regulation of gluconeogenesis [GO:0006111]; regulation of glucose metabolic process [GO:0010906]; regulation of pH [GO:0006885],GO:0004672; GO:0004740; GO:0005524; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0005967; GO:0006006; GO:0006111; GO:0006885; GO:0008286; GO:0010510; GO:0010565; GO:0010906; GO:0031670; GO:0034614; GO:0042593; GO:0042803; GO:0072332,Q15119,sp,PDK2_HUMAN,46.523,417,194,6,18,428,11,404,6.99E-132,266,TSN_MOUSE,reviewed,Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO) (Testis/brain RNA-binding protein) (TB-RBP),Tsn,Mus musculus (Mouse),228,0,GO:0003723; GO:0003729; GO:0004519; GO:0005634; GO:0005737; GO:0043565,0,0,0,PF01997;
CHOYP_BRAFLDRAFT_118500.1.1|m.46374,EelgrassCI-EelgrassFB,0.121448714,sp|O75131|CPNE3_HUMAN,,Copine-3 (Copine III),Homo sapiens (Human),cellular response to calcium ion [GO:0071277]; cellular response to growth factor stimulus [GO:0071363]; ERBB2 signaling pathway [GO:0038128]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; positive regulation of cell migration [GO:0030335]; vesicle-mediated transport [GO:0016192],GO:0004674; GO:0005215; GO:0005544; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006629; GO:0016192; GO:0030054; GO:0030335; GO:0030971; GO:0038128; GO:0044822; GO:0046474; GO:0048306; GO:0070062; GO:0071277; GO:0071363,O75131,sp,CPNE3_HUMAN,52.542,531,240,8,10,538,6,526,0,266,HS12B_HUMAN,reviewed,Heat shock 70 kDa protein 12B,HSPA12B C20orf60,Homo sapiens (Human),686,0,GO:0005524,0,0,0,0
CHOYP_BRAFLDRAFT_120970.1.1|m.63798,EelgrassCI-EelgrassSK,0.082081835,sp|O75131|CPNE3_HUMAN,,Copine-3 (Copine III),Homo sapiens (Human),cellular response to calcium ion [GO:0071277]; cellular response to growth factor stimulus [GO:0071363]; ERBB2 signaling pathway [GO:0038128]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; positive regulation of cell migration [GO:0030335]; vesicle-mediated transport [GO:0016192],GO:0004674; GO:0005215; GO:0005544; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006629; GO:0016192; GO:0030054; GO:0030335; GO:0030971; GO:0038128; GO:0044822; GO:0046474; GO:0048306; GO:0070062; GO:0071277; GO:0071363,O75131,sp,CPNE3_HUMAN,54.972,533,230,7,12,542,2,526,0,270,HS12B_HUMAN,reviewed,Heat shock 70 kDa protein 12B,HSPA12B C20orf60,Homo sapiens (Human),686,0,GO:0005524,0,0,0,0
CHOYP_BRAFLDRAFT_122807.1.1|m.3729,EelgrassCI-EelgrassSK,0.131083702,sp|Q99MD6|TRXR3_MOUSE,,Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase TR2),Mus musculus (Mouse),cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283],GO:0004791; GO:0005634; GO:0005783; GO:0006749; GO:0007275; GO:0007283; GO:0009055; GO:0015035; GO:0030154; GO:0045454; GO:0050660,Q99MD6,sp,TRXR3_MOUSE,62.995,581,212,3,16,593,70,650,0,58.2,PLCL_MYTGA,reviewed,Perlucin-like protein,0,Mytilus galloprovincialis (Mediterranean mussel),156,0,GO:0005576; GO:0030246,0,0,0,PF00059;
CHOYP_BRAFLDRAFT_125037.1.3|m.2939,EelgrassSK-EelgrassWB,0.32646378,sp|Q58EK5|TDRD1_DANRE,,Tudor domain-containing protein 1,Danio rerio (Zebrafish) (Brachydanio rerio),DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; P granule organization [GO:0030719]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283],GO:0005737; GO:0007281; GO:0007283; GO:0030719; GO:0031047; GO:0034584; GO:0034587; GO:0043046; GO:0043186; GO:0046872; GO:0051321; GO:0071546,Q58EK5,sp,TDRD1_DANRE,25.289,866,504,29,1882,2670,195,994,1.30E-50,518,CO1A2_RAT,reviewed,Collagen alpha-2(I) chain (Alpha-2 type I collagen),Col1a2,Rattus norvegicus (Rat),1372,cellular response to organic substance [GO:0071310]; cellular response to retinoic acid [GO:0071300]; cellular response to thyroid hormone stimulus [GO:0097067]; extracellular matrix organization [GO:0030198]; response to norepinephrine [GO:0071873],GO:0005201; GO:0005576; GO:0005578; GO:0005581; GO:0030198; GO:0046872; GO:0071300; GO:0071310; GO:0071873; GO:0097067,0,0,0,PF01410;PF01391;
CHOYP_BRAFLDRAFT_126822.1.1|m.14626,BareCI-EelgrassCI,0,sp|O35815|ATX3_RAT,,Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1 homolog),Rattus norvegicus (Rat),"actin cytoskeleton organization [GO:0030036]; cellular response to heat [GO:0034605]; cellular response to misfolded protein [GO:0071218]; exploration behavior [GO:0035640]; histone H3 deacetylation [GO:0070932]; intermediate filament cytoskeleton organization [GO:0045104]; microtubule cytoskeleton organization [GO:0000226]; misfolded or incompletely synthesized protein catabolic process [GO:0006515]; monoubiquitinated protein deubiquitination [GO:0035520]; positive regulation of ERAD pathway [GO:1904294]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]; protein localization to cytosolic proteasome complex involved in ERAD pathway [GO:1904379]; regulation of cell-substrate adhesion [GO:0010810]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",GO:0000226; GO:0001012; GO:0004843; GO:0005634; GO:0005759; GO:0005789; GO:0005829; GO:0006351; GO:0006355; GO:0006515; GO:0008242; GO:0010810; GO:0030036; GO:0031625; GO:0031966; GO:0034605; GO:0035520; GO:0035640; GO:0042405; GO:0042802; GO:0043161; GO:0045104; GO:0051117; GO:0061578; GO:0070536; GO:0070932; GO:0071108; GO:0071218; GO:1904294; GO:1904379; GO:1990380,O35815,sp,ATX3_RAT,48.116,345,141,8,1,321,1,331,1.99E-101,167,HS12A_HUMAN,reviewed,Heat shock 70 kDa protein 12A,HSPA12A KIAA0417,Homo sapiens (Human),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_BRAFLDRAFT_127510.1.1|m.48935,BarePG-BareWB,0.005384639,sp|P00920|CAH2_MOUSE,,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II),Mus musculus (Mouse),"angiotensin-activated signaling pathway [GO:0038166]; carbon dioxide transport [GO:0015670]; cellular response to fluid shear stress [GO:0071498]; kidney development [GO:0001822]; morphogenesis of an epithelium [GO:0002009]; odontogenesis of dentin-containing tooth [GO:0042475]; one-carbon metabolic process [GO:0006730]; positive regulation of bone resorption [GO:0045780]; positive regulation of cellular pH reduction [GO:0032849]; positive regulation of dipeptide transmembrane transport [GO:2001150]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; regulation of anion transport [GO:0044070]; regulation of chloride transport [GO:2001225]; regulation of intracellular pH [GO:0051453]; regulation of pH [GO:0006885]; response to estrogen [GO:0043627]; response to pH [GO:0009268]; response to steroid hormone [GO:0048545]; response to zinc ion [GO:0010043]; secretion [GO:0046903]",GO:0001822; GO:0002009; GO:0004064; GO:0004089; GO:0005615; GO:0005737; GO:0005829; GO:0005886; GO:0005902; GO:0006730; GO:0006885; GO:0008270; GO:0009268; GO:0010043; GO:0015670; GO:0016323; GO:0030424; GO:0032230; GO:0032849; GO:0038166; GO:0042475; GO:0043209; GO:0043627; GO:0044070; GO:0045177; GO:0045672; GO:0045780; GO:0046903; GO:0048545; GO:0051453; GO:0070062; GO:0071498; GO:2001150; GO:2001225,P00920,sp,CAH2_MOUSE,37.453,267,154,7,33,297,5,260,2.01E-56,285,HS12A_MOUSE,reviewed,Heat shock 70 kDa protein 12A,Hspa12a Kiaa0417,Mus musculus (Mouse),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_BRAFLDRAFT_128825.1.1|m.10785,BareSK-EelgrassSK,0.443682196,sp|Q6AYP6|SAXO1_RAT,,Stabilizer of axonemal microtubules 1,Rattus norvegicus (Rat),cell projection organization [GO:0030030]; cellular response to cold [GO:0070417]; cold acclimation [GO:0009631]; positive regulation of cilium assembly [GO:0045724],GO:0005814; GO:0005879; GO:0008017; GO:0009631; GO:0030030; GO:0031512; GO:0036064; GO:0036126; GO:0045724; GO:0070417,Q6AYP6,sp,SAXO1_RAT,30.268,261,140,14,70,318,151,381,2.40E-08,351,DPEP1_HUMAN,reviewed,Dipeptidase 1 (EC 3.4.13.19) (Dehydropeptidase-I) (Microsomal dipeptidase) (Renal dipeptidase) (hRDP),DPEP1 MDP RDP,Homo sapiens (Human),411,antibiotic metabolic process [GO:0016999]; cellular lactam catabolic process [GO:0072340]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to nitric oxide [GO:0071732]; glutathione metabolic process [GO:0006749]; homocysteine metabolic process [GO:0050667]; leukotriene metabolic process [GO:0006691]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; xenobiotic metabolic process [GO:0006805],GO:0005615; GO:0005886; GO:0006691; GO:0006749; GO:0006805; GO:0008235; GO:0008239; GO:0008270; GO:0016324; GO:0016805; GO:0016999; GO:0030336; GO:0031225; GO:0031528; GO:0034235; GO:0035690; GO:0043027; GO:0043066; GO:0043154; GO:0045177; GO:0050667; GO:0070062; GO:0070573; GO:0071277; GO:0071732; GO:0072340; GO:0072341,0,0,0,PF01244;
CHOYP_BRAFLDRAFT_129234.1.1|m.10468,BareFB-BareSK,0.182183775,sp|Q80Y14|GLRX5_MOUSE,,"Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)",Mus musculus (Mouse),cell redox homeostasis [GO:0045454]; hemopoiesis [GO:0030097],GO:0005634; GO:0005739; GO:0005759; GO:0009055; GO:0015035; GO:0030097; GO:0030425; GO:0043025; GO:0045454; GO:0046872; GO:0051537,Q80Y14,sp,GLRX5_MOUSE,64.754,122,43,0,25,146,30,151,7.31E-58,282,HS12A_MOUSE,reviewed,Heat shock 70 kDa protein 12A,Hspa12a Kiaa0417,Mus musculus (Mouse),675,0,GO:0005524; GO:0070062,0,0,0,0
