GOID,p.value,transcript,geneID,chr,start,end,GOterm,GOSlim,GOcat
GO:0008270,0.00588,XM_034452312.1,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034454440.1,105330472,NC_047567.1,4830649,4830651,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034454441.1,105330472,NC_047567.1,4830649,4830651,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034454439.1,105330472,NC_047567.1,4830649,4830651,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034453551.1,117683735,NC_047567.1,4830649,4830651,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034454442.1,105330472,NC_047567.1,4830649,4830651,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034465393.1,105335191,NC_047560.1,55774316,55774318,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463808.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_020066246.2,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034454444.1,105330472,NC_047567.1,4830649,4830651,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034451080.1,105348104,NC_047566.1,56153337,56153339,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034454443.1,105330472,NC_047567.1,4830649,4830651,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463800.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034465391.1,105335191,NC_047560.1,55774316,55774318,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034477818.1,117691546,NC_047563.1,44904312,44904314,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463800.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463800.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463799.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_011425896.3,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463799.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463800.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463799.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463808.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463799.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034470058.1,105348300,NC_047561.1,1264710,1264712,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463801.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463809.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463801.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034470060.1,105348300,NC_047561.1,1264710,1264712,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034451082.1,105348104,NC_047566.1,56153337,56153339,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463801.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463800.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463799.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_011425890.3,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463802.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463801.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463801.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_011425892.3,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463802.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034470059.1,105348300,NC_047561.1,1264710,1264712,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463802.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463808.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463803.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_011425895.3,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463803.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463802.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463803.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463808.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463803.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463802.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463803.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463809.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463804.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034477817.1,117691546,NC_047563.1,44904312,44904314,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463804.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463809.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463804.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463809.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463808.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463809.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463804.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463810.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_011425897.3,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463810.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463805.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463810.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463805.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463810.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463805.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463810.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463805.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463804.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463807.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034465389.1,105335191,NC_047560.1,55774316,55774318,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463807.1,117687382,NC_047560.1,4561429,4561431,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463805.1,117687382,NC_047560.1,4561420,4561422,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463807.1,117687382,NC_047560.1,4561492,4561494,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034465390.1,105335191,NC_047560.1,55774316,55774318,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463807.1,117687382,NC_047560.1,4561508,4561510,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_011425894.3,105326056,NC_047566.1,3996134,3996136,zinc ion binding,other molecular function,F
GO:0008270,0.00588,XM_034463807.1,117687382,NC_047560.1,4565018,4565020,zinc ion binding,other molecular function,F
GO:0017022,0.00021,XM_034452312.1,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
GO:0017022,0.00021,XM_020066246.2,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
GO:0017022,0.00021,XM_011425894.3,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
GO:0017022,0.00021,XM_011425890.3,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
GO:0017022,0.00021,XM_011425895.3,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
GO:0017022,0.00021,XM_011425897.3,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
GO:0017022,0.00021,XM_011425896.3,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
GO:0017022,0.00021,XM_011425892.3,105326056,NC_047566.1,3996134,3996136,myosin binding,cytoskeletal activity,F
