Protein Name	bare	bare	bare	bare	bare	eel	eel	eel	eel	eel
Universal stress protein A-like protein	993920	202067.5	146146.5	298265	1299322.5	83000	1563098.333	370494	50451	321543
Stress response protein NhaX	494980	31084	64158.5	223025.3333	128777	205825.5	269893	22560	621286	133610.6667
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	651414.5556	337618.1	6317623.786	378199.4438	467184	338760.75	3826765.727	2681237.5	1244984.25	2706129.875
Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450-P1)	186407	54401	1397167	260581.6667	22764.5	44155.5	298899.5	131393	65384.5	302437
DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2)	309802.2	353796.6667	79159	386589.25	1288476.2	1920633.333	342487	276688	117232	4563791.667
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	2755969.8	72264.1	698586.8667	685428.0769	198614.6667	379931.6667	524564.4615	294265.0833	1047699.833	1460404.467
Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	59396	278817.25	441964.5	100422.4	75555	87041.5	1927668	49157	98312.25	69018.25
Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	70780.33333	34651.66667	293493.5	50868.66667	44886.33333	142494	333917.6667	33090	172906.5	57362.4
Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	1996542	25739	171339.5	665833.5	17751	388418.5	80537.5	6428505	591267.3333	768276.25
Heat shock protein HSP 90-beta	9164404.2	1361520.667	116619.3333	185248.3333	1829547	9327987.6	1016510.25	4068249	527168.6667	15804239.17
Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27)	150372	1061472	56760	1460974	15160	131588.5	1822599	21110	39365	431946
"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)"	78490.66667	205071	1617600.75	761757.5	19247.5	55224.5	179952	489340.6667	436601.75	183744
Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)	277224.5	239394.2857	564827.6	542207.6923	112510.4	1514133	336436.5833	1347760.615	276059.2143	9033543.176
"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)"	580726.1818	659955.9333	270457.4545	147976.0667	1759394.467	2201730.882	3965564.308	237882.6429	877740.7222	1262641.474
Universal stress protein in QAH/OAS sulfhydrylase 3'region (USP)	NA	58863	32283	35933	28376	706159.6667	27690	30125	493471.25	54103
Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1) (Superoxide dismutase B)	149280	145904.5	715463.6	294631.5	178660.6667	579099.6667	494118	846515.83	402935	452613.6
